,appid,title,short_description,is_free,supported_languages,developers,publishers,platforms,categories,genres,release_date
51,911400,Assassin's Creed® III Remastered,"Relive the American Revolution or experience it for the first time in Assassin's Creed® III Remastered, with enhanced graphics and improved gameplay mechanics. Also includes Assassin's Creed Liberation remastered and all solo DLC content.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Dutch, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support",['Ubisoft Entertainment'],['Ubisoft Entertainment\t\t\t\t'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","29 Mar, 2019"
52,242050,Assassin’s Creed® IV Black Flag™,"The year is 1715. Pirates rule the Caribbean and have established their own lawless Republic where corruption, greediness and cruelty are commonplace.Among these outlaws is a brash young captain named Edward Kenway.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech, Danish, Dutch, Finnish, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Swedish, Simplified Chinese<br><strong>*</strong>languages with full audio support",['Ubisoft Montreal'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 35, 'description': 'In-App Purchases'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]",
53,812140,Assassin's Creed® Odyssey,"Choose your fate in Assassin's Creed® Odyssey. From outcast to living legend, embark on an odyssey to uncover the secrets of your past and change the fate of Ancient Greece.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic, Czech, Dutch, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support","['Ubisoft Quebec', 'Ubisoft Montreal', 'Ubisoft Bucharest', 'Ubisoft Singapore', 'Ubisoft Montpellier', 'Ubisoft Kiev', 'Ubisoft Shanghai']",['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 13, 'description': 'Captions available'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}, {'id': 41, 'description': 'Remote Play on Phone'}, {'id': 42, 'description': 'Remote Play on Tablet'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]","5 Oct, 2018"
54,201870,Assassin's Creed® Revelations,"Ezio Auditore walks in the footsteps of the legendary mentor Altair, on a dangerous journey of discovery and revelation.",False,"Danish, Dutch, English, French, German, Italian, Norwegian, Polish, Portuguese - Portugal, Spanish - Spain, Swedish, Russian, Korean, Simplified Chinese, Traditional Chinese",['Ubisoft Montreal'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","30 Nov, 2011"
55,311560,Assassin’s Creed® Rogue,"Introducing Assassin’s Creed® Rogue, the darkest chapter in the Assassin’s Creed franchise yet. As Shay, you will experience the slow transformation from Assassin to Assassin Hunter. Follow your own creed and set off on an extraordinary journey through New York City, the wild river valley, and far away to the icy cold waters of the North...",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Dutch, Japanese<strong>*</strong>, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Korean<br><strong>*</strong>languages with full audio support","['Ubisoft Sofia', 'Ubisoft Kiev']",['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","23 Mar, 2015"
56,368500,Assassin's Creed® Syndicate,"London, 1868. In the heart of the Industrial Revolution, lead your underworld organization and grow your influence to fight those who exploit the less privileged in the name of progress",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech, Dutch, Hungarian, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support","['Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios']",['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","18 Nov, 2015"
57,289650,Assassin's Creed® Unity,"Assassin’s Creed® Unity tells the story of Arno, a young man who embarks upon an extraordinary journey to expose the true powers behind the French Revolution. In the brand new co-op mode, you and your friends will also be thrown in the middle of a ruthless struggle for the fate of a nation.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil, Russian<strong>*</strong>, Traditional Chinese, Dutch<br><strong>*</strong>languages with full audio support",['Ubisoft'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","12 Nov, 2014"
58,2208920,Assassin's Creed Valhalla,"Become a legendary Viking on a quest for glory. Raid your enemies, grow your settlement, and build your political power.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic, Simplified Chinese, Traditional Chinese, Korean, Spanish - Latin America, Japanese<strong>*</strong>, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong><br><strong>*</strong>languages with full audio support",['Ubisoft Montreal'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 13, 'description': 'Captions available'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]","6 Dec, 2022"
59,582160,Assassin's Creed® Origins,"ASSASSIN’S CREED® ORIGINS IS A NEW BEGINNING *The Discovery Tour by Assassin’s Creed®: Ancient Egypt is available now as a free update!* Ancient Egypt, a land of majesty and intrigue, is disappearing in a ruthless fight for power.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech, Dutch, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support",['Ubisoft Montreal'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 13, 'description': 'Captions available'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}, {'id': 42, 'description': 'Remote Play on Tablet'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]","26 Oct, 2017"
60,291550,Brawlhalla,"An epic platform fighter for up to 8 players online or local. Try casual free-for-alls, ranked matches, or invite friends to a private room. And it's free! Play cross-platform with millions of players on PlayStation, Xbox, Nintendo Switch, iOS, Android &amp; Steam! Frequent updates. Over fifty Legends.",True,"English<strong>*</strong>, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support",['Blue Mammoth Games'],['Ubisoft'],"{'windows': True, 'mac': True, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 49, 'description': 'PvP'}, {'id': 36, 'description': 'Online PvP'}, {'id': 37, 'description': 'Shared/Split Screen PvP'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 39, 'description': 'Shared/Split Screen Co-op'}, {'id': 24, 'description': 'Shared/Split Screen'}, {'id': 27, 'description': 'Cross-Platform Multiplayer'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 41, 'description': 'Remote Play on Phone'}, {'id': 42, 'description': 'Remote Play on Tablet'}, {'id': 43, 'description': 'Remote Play on TV'}, {'id': 44, 'description': 'Remote Play Together'}]","[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}]","17 Oct, 2017"
61,13520,Far Cry®,"A tropical paradise seethes with hidden evil in Far Cry®, a cunningly detailed action shooter that pushes the boundaries of combat to shocking new levels. Freelance mariner Jack Carver is cursing the day he ever came to this island.",False,"English, French",['Crytek Studios'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}]","[{'id': '1', 'description': 'Action'}]","1 Apr, 2008"
62,19900,Far Cry® 2,"You are a gun for hire, trapped in a war-torn African state, stricken with malaria and forced to make deals with corrupt warlords on both sides of the conflict in order to make this country your home. You must identify and exploit your enemies' weaknesses, neutralizing their superior numbers and firepower with surprise, subversion,...",False,"English, French, Italian, German, Spanish - Spain",['Ubisoft Montreal'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}]","[{'id': '1', 'description': 'Action'}]","22 Oct, 2008"
63,220240,Far Cry 3,Discover the dark secrets of a lawless island ruled by violence and take the fight to the enemy as you try to escape. You’ll need more than luck to escape alive!,False,"English<strong>*</strong>, German<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, Spanish - Spain<strong>*</strong>, Portuguese - Portugal, Polish, Danish, Dutch, Norwegian, Swedish, Czech, Russian<strong>*</strong>, Japanese<strong>*</strong>, Korean, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support","['Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai']",['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","28 Nov, 2012"
64,233270,Far Cry 3 - Blood Dragon,"Far Cry® 3: Blood Dragon is THE Kick-Ass Cyber Shooter.Welcome to an 80’s vision of the future. The year is 2007 and you are Sargent Rex Colt, a Mark IV Cyber Commando. Your mission: get the girl, kill the baddies, and save the world.",False,"English<strong>*</strong>, Dutch, French<strong>*</strong>, German<strong>*</strong>, Italian<strong>*</strong>, Portuguese - Portugal, Russian<strong>*</strong>, Spanish - Spain<strong>*</strong><br><strong>*</strong>languages with full audio support",['Ubisoft Montreal'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","1 May, 2013"
65,298110,Far Cry® 4,"Hidden in the towering Himalayas lies Kyrat, a country steeped in tradition and violence. You are Ajay Ghale. Traveling to Kyrat to fulfill your mother’s dying wish, you find yourself caught up in a civil war to overthrow the oppressive regime of dictator Pagan Min.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech, Danish, Dutch, Finnish, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian, Swedish, Norwegian, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support","['Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev']",['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]",Nov 2014
66,552520,Far Cry® 5,"Discover the open world of Hope County, Montana, besieged by a fanatical doomsday cult. Dive into the action solo or two-player co-op in the story campaign, use a vast arsenal of weapons and allies, and free Hope County from Joseph Seed and his cult.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic, Czech, Dutch, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support","['Ubisoft Montreal', 'Red Storm', 'Ubisoft Shanghai', 'Ubisoft Toronto', 'Ubisoft Kiev']",['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 13, 'description': 'Captions available'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}, {'id': 17, 'description': 'Includes level editor'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","26 Mar, 2018"
67,2369390,Far Cry® 6,"Enter the adrenaline-filled world of a modern-day guerrilla revolution. With stunning vistas, visceral gunplay, and a huge variety of gameplay experiences, there's never been a better time to join the fight.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian, German<strong>*</strong>, Spanish - Spain, Arabic, Japanese<strong>*</strong>, Korean, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Spanish - Latin America<strong>*</strong>, Thai, Traditional Chinese<br><strong>*</strong>languages with full audio support","['Ubisoft Toronto', 'Ubisoft Montreal', 'Ubisoft Kyiv', 'Ubisoft Shanghai', 'Ubisoft Berlin']",['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","11 May, 2023"
68,939960,Far Cry® New Dawn,"Dive into a transformed vibrant post-apocalyptic Hope County, Montana, 17 years after a global nuclear catastrophe. Lead the fight against the Highwaymen, as they seek to take over the last remaining resources.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic, Czech, Dutch, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support","['Ubisoft Montreal', 'Ubisoft Kiev', 'Ubisoft Shanghai']",['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","15 Feb, 2019"
69,371660,Far Cry® Primal,"The award-winning Far Cry franchise returns with its innovative open world gameplay, bringing together massive beasts, breathtaking environments, and unpredictable savage encounters. Welcome to the Stone Age, a time of danger and adventure.",False,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Finnish, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Traditional Chinese",['Ubisoft'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","29 Feb, 2016"
70,304390,FOR HONOR™,"Carve a path of destruction through an intense, believable battlefield in For Honor.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Dutch, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese, Czech<br><strong>*</strong>languages with full audio support","['Ubisoft Montreal', 'Ubisoft Quebec', 'Ubisoft Toronto', 'Blue Byte']",['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 49, 'description': 'PvP'}, {'id': 36, 'description': 'Online PvP'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}]","13 Feb, 2017"
71,19980,Prince of Persia®,"The critically acclaimed Prince of Persia® franchise returns for the first time on next-generation platforms with an all-new epic journey. Built by the same award-winning Ubisoft Montreal studio that created Assassin's Creed™, Prince of Persia has been in development for over three years to deliver a whole new action-adventure gaming...",False,"English, French, Italian, German, Spanish - Spain",['Ubisoft Montreal'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","10 Dec, 2008"
72,33320,Prince of Persia: The Forgotten Sands™,"Prince of Persia The Forgotten Sands is the next chapter in the fan-favorite Sands of Time universe. Visiting his brother's kingdom following his adventure in Azad, the Prince finds the royal palace under siege from a mighty army bent on its destruction.",False,"English, French, German, Italian, Spanish - Spain",['Ubisoft Montreal'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","10 Jun, 2010"
73,13600,Prince of Persia®: The Sands of Time,"Amidst the scorched sands of ancient Persia, there is a legend spun in an ancient tongue. It speaks of a time borne by blood and ruled by deceit. Drawn to the dark powers of a magic dagger, a young Prince is led to unleash a deadly evil upon a beautiful kingdom.",False,"English, French, German, Italian, Spanish - Spain",['Kudosoft'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","27 Aug, 2009"
74,13530,Prince of Persia: The Two Thrones™,"The Prince of Persia, a seasoned warrior, returns from the Island of Time to Babylon with his love, Kaileena. Instead of the peace that he longs for, he finds his homeland ravaged by war and the kingdom turned against him.",False,"English, French, German, Italian, Spanish - Spain",['Ubisoft Montreal'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","27 Aug, 2009"
75,13500,Prince of Persia: Warrior Within™,"Enter the dark underworld of Prince of Persia Warrior Within, the sword-slashing sequel to the critically acclaimed Prince of Persia: The Sands of Time&trade;. Hunted by Dahaka, an immortal incarnation of Fate seeking divine retribution, the Prince embarks upon a path of both carnage and mystery to defy his preordained death.",False,"English, German, Italian, Spanish - Spain",['Ubisoft'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","27 Aug, 2009"
76,2290180,Riders Republic,"Jump into a massive multiplayer playground! Bike, ski, snowboard, or wingsuit across an open world sports paradise.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian, German<strong>*</strong>, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean, Japanese<br><strong>*</strong>languages with full audio support","['Ubisoft Annecy', 'Ubisoft Belgrade', 'Ubisoft Kyiv', 'Ubisoft Pune', 'Ubisoft Odesa']",['Ubisoft Entertainment'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 49, 'description': 'PvP'}, {'id': 36, 'description': 'Online PvP'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 27, 'description': 'Cross-Platform Multiplayer'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '29', 'description': 'Massively Multiplayer'}, {'id': '18', 'description': 'Sports'}]","8 Jun, 2023"
77,241560,The Crew™,"The Crew is a revolutionary action-driving MMO, developed exclusively for next-gen consoles and high-end PCs that leverage new hardware capabilities to connect players online like never before. The Crew takes you and your friends on a wild ride across a massive, open-world recreation of the United States that is loaded with exciting...",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech, Danish, Dutch, Finnish, Japanese<strong>*</strong>, Norwegian, Polish, Portuguese - Brazil, Russian<strong>*</strong>, Swedish<br><strong>*</strong>languages with full audio support",['Ivory Tower in collaboration with Ubisoft Reflections'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 20, 'description': 'MMO'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '9', 'description': 'Racing'}]","1 Dec, 2014"
78,646910,The Crew™ 2,"Take on the American motorsports scene as you explore and dominate the land, air, and sea across the entire USA. With a wide variety of cars, bikes, boats, and planes, compete in a wide range of driving disciplines.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic, Dutch, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support",['Ivory Tower'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 20, 'description': 'MMO'}, {'id': 49, 'description': 'PvP'}, {'id': 36, 'description': 'Online PvP'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}, {'id': 41, 'description': 'Remote Play on Phone'}, {'id': 42, 'description': 'Remote Play on Tablet'}]","[{'id': '1', 'description': 'Action'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '9', 'description': 'Racing'}]","28 Jun, 2018"
79,21800,Tom Clancy's EndWar™,"Live the thrilling career of an army commander and lead your army to victory in a massive online World War III! Take control of the U.S.-led Joint Strike Force, the European Enforcers Corps, or the Russian Spetsnaz Guards Brigade in a persistent ongoing World War.",False,"English, French, German, Italian, Spanish - Spain",['Ubisoft  Shanghaï'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}]","[{'id': '2', 'description': 'Strategy'}]","25 Feb, 2009"
80,15300,Tom Clancy's Ghost Recon®,"Eastern Europe, 2008. War has broken out on the borders of Russia and the fate of the world hangs in the balance. That's when the call goes out for the Ghostsan elite handful of specially trained Green Berets, armed with the latest technology and trained to use the deadliest weapons.",False,English,['Red Storm Entertainment'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}]","[{'id': '1', 'description': 'Action'}]","15 Jul, 2008"
81,2231380,Tom Clancy's Ghost Recon® Breakpoint,"Become a Ghost, fighting against a rogue spec ops faction called the Wolves, in the latest Tom Clancy's Ghost Recon®!",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic, Czech, Dutch, Japanese<strong>*</strong>, Korean, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Spanish - Latin America<strong>*</strong>, Thai, Traditional Chinese<br><strong>*</strong>languages with full audio support",['Ubisoft Paris'],['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","23 Jan, 2023"
82,460930,Tom Clancy's Ghost Recon® Wildlands,"Create a team with up to 3 friends in Tom Clancy’s Ghost Recon® Wildlands and enjoy the ultimate military shooter experience set in a massive, dangerous, and responsive open world.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic, Simplified Chinese, Traditional Chinese, Korean, Japanese<strong>*</strong>, Dutch, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Czech<br><strong>*</strong>languages with full audio support","['Ubisoft Paris', 'Ubisoft Annecy', 'Ubisoft Bucharest', 'Ubisoft Montpellier', 'Ubisoft Milan', 'Reflections', 'Ubisoft Belgrade']",['Ubisoft'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","6 Mar, 2017"
